id,name,description,code,subType,subTypeNum,maxIncrease,price,dollar,originalDollar,inShop,inOffer,vipLevel,operation,consumeItemId,sortIndex,panelType,panelTab,quality,useLv,canOpenBatch,useLimitCount,total,expireTime,showRate,consecrateMeritValue,consecrateLiveValue,meili,qinmi,isFeiziGift,decomposeRende,skipLink,showInBag,isSkin,isBook,bookAttrs,isPiece,chanzhi,awardToString,awardShowString,
40001,金钱,免费货币，可以用来主线、扩张等玩法。,item001,功能,0,99999,0,0,0,0,0,0,0,,1,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,,,
40002,钻石,收费货币，可通过活动或充值获得。,item002,功能,0,99999,0,0,0,0,0,0,0,,2,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
40003,阅历,主要在扩张中获得，员工培养书籍的主要消耗,item006,功能,0,99999,0,0,0,0,0,0,0,,6,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
40004,积分,可用于在才艺展示兑换商店换取各种奖励，非常珍贵。,item003,功能,0,99999,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40005,经验,玩家获得经验，即可提升将领和美人等级。,item005,功能,0,99999,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,,0,0,,,
40006,体力,刷副本需要消耗体力。,item006,功能,0,99999,0,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,,0,0,,,
40007,政令,朝堂处理政务需要消耗政令。,item007,功能,0,99999,0,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,,0,0,,,
40008,次数,才艺展示需要消耗的次数。,item008,功能,0,99999,0,0,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,,0,0,,,
41004,黄金,可在座驾商店中购买商品,item004,功能,0,99999,0,0,0,0,0,0,0,,4,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
47065,员工经验值,主要用于员工升级,item005,功能,0,99999,0,0,0,0,0,0,0,,1,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,1,,,
41006,人缘,用于童话小屋中兑换员工相关奖励,item183,功能,0,99999,0,0,0,0,0,0,0,,3,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
41007,才艺积分,可在竞技商店中购买道具,item007,功能,0,99999,0,0,0,0,0,0,0,,7,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,0,0,,,
41008,银怀表,使用后可获得1分钟的金钱收益,item008,宝箱,0,99999,0,10,0,1,0,0,2,,8,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41009,金怀表,使用后可获得1小时的金钱收益,item009,宝箱,0,99999,0,500,0,1,0,0,2,,9,0,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41010,阅历箱,使用后可随机获得100-1000阅历,item010,宝箱,2,99999,0,200,0,1,0,0,3,,10,0,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,7:40003:103,,
