id,type,name,level,challengeTimes,sweepTimes,sceneId,levelLimit,roundLimit,resetPrice,monsterLevel,stance1,stance2,stance3,stance4,stance5,stance6,stance7,stance8,stance9,stance10,stance11,stance12,stance13,stance14,stance15,stance16,stance17,stance18,stance19,stance20,packageNum,searchDollarType,fundGiftType,syGiftType,limitGiftType,godLimit,ordinaryPropStr,roundPropStr,
10001,1,山海经,1,100,5,2,100,50,50,3700,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11596,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10002,1,山海经,2,100,5,2,100,50,50,3811,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,11595,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10003,1,山海经,3,100,5,2,100,50,50,3922,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,11596,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10004,1,山海经,4,100,5,2,100,50,50,4033,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,11595,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10005,1,山海经,5,100,5,2,100,50,50,4144,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,11604,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10006,1,山海经,6,100,5,2,100,50,50,4256,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,11604,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10007,1,山海经,7,100,5,2,100,50,50,4367,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,11605,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10008,1,山海经,8,100,5,2,100,50,50,4478,120005,120001,120001,120001,120001,120005,120001,120001,120001,120001,120005,120001,120001,120001,120001,120005,120001,120001,120001,11604,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10009,1,山海经,9,100,5,2,100,50,50,4589,120005,120001,120001,120001,120001,120005,120001,120001,120001,120001,120005,120001,120001,120001,120001,120005,120001,120001,120001,11605,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10010,1,山海经,10,100,5,2,100,50,50,4700,120005,120001,120001,120001,120001,120005,120001,120001,120001,120001,120005,120001,120001,120001,120001,120005,120001,120001,120001,11605,0,1,1,1,1,20,7:40224:20|7:40225:10|7:40226:2|7:42443:2,7:40224:20|7:40225:10|7:40226:2|7:42443:2,
10011,1,山海经,11,100,5,2,100,50,50,4740,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11614,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10012,1,山海经,12,100,5,2,100,50,50,4780,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,11604,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10013,1,山海经,13,100,5,2,100,50,50,4820,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11613,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10014,1,山海经,14,100,5,2,100,50,50,4860,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,11614,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10015,1,山海经,15,100,5,2,100,50,50,4900,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11613,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10016,1,山海经,16,100,5,2,100,50,50,4940,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,11614,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10017,1,山海经,17,100,5,2,100,50,50,4980,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11613,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10018,1,山海经,18,100,5,2,100,50,50,5020,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,11613,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10019,1,山海经,19,100,5,2,100,50,50,5060,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11613,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10020,1,山海经,20,100,5,2,100,50,50,5100,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,120001,120003,120001,120001,120001,11614,0,1,1,1,1,20,7:40224:20|7:40225:10|7:40226:2|7:42443:2,7:40224:20|7:40225:10|7:40226:2|7:42443:2,
10021,1,山海经,21,100,5,2,100,50,50,5140,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11614,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10022,1,山海经,22,100,5,2,100,50,50,5180,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,120001,120004,120001,120001,120001,11613,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10023,1,山海经,23,100,5,2,100,50,50,5220,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11614,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10024,1,山海经,24,100,5,2,100,50,50,5260,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,120001,120002,120001,120001,120001,11613,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
10025,1,山海经,25,100,5,2,100,50,50,5300,120005,120001,120001,120001,120001,120004,120001,120001,120001,120001,120003,120001,120001,120001,120001,120002,120001,120001,120001,11623,0,1,1,1,1,20,7:40224:10|7:40225:5|7:40226:1|7:42443:1,7:40224:10|7:40225:5|7:40226:1|7:42443:1,
