id,name,description,groupID,difficulty,groupName,monsterNum,staminaCost,dailyLimit,coinAward,expAward,stance1,levelMonster,expAwardBoss,coinAwardBoss,battleBefore,battleing,battleAfter,mapId,judge,icon,openTower,monsterId,xianming,linkId,monsterIcon,chapterLevel,commonAward,clearanceAwardString,rareAwardString,spAwardString,
50001,1-1|终南山下,银月告诉你，靠自己的力量爬到终南山顶是试炼的第一步。,1,1,1章|安阳,1,1,1,6,15,11276,friend010,864,500,,,1，2，3,1,1,,,0,1,50001,xiuxian_enemy005_b,1,122001,7:49718:3|7:49780:3|7:49064:1,7:49718:1|7:49780:1|7:49629:1,7:49718:1,
50002,1-2|山中之妖,你登山的脚步惊扰到了山中的妖精，他们纷纷前来阻拦你。,1,1,2章|巨鹿,2,1,1,6,17,11280,friend008,950,505,,,330，331，332，333，334，335，336，337，338，339,2,1,,,0,1,50002,xiuxian_enemy006_b,2,122001,7:49719:3|7:49780:3|7:49064:1,7:49719:1|7:49780:1|7:49630:1,7:49719:1,
50003,1-3|奇异之人,一个修仙者模样的人挡在你的面前，拒绝放你过去。,1,1,2章|巨鹿,2,1,1,6,18,11281,friend009,1037,510,400，401，402,,,3,2,magic009_b,215，388|425，388,0,1,50003,xiuxian_enemy007_b,3,122001,7:49720:3|7:49780:3|7:49064:1,7:49720:1|7:49780:1|7:49631:1,7:49720:1,
50004,1-4|前世因果,修仙者告诉你他的名字是萧凡，他坚持要阻止你上山。,1,1,2章|巨鹿,2,1,1,6,20,11282,friend059,1123,515,,4，5，6,,2,1,,,0,1,50004,xiuxian_enemy004_b,4,122001,7:49721:3|7:49780:3|7:49064:1,7:49721:1|7:49780:1|7:49632:1,7:49721:1,
50005,1-5|后会有期,萧凡好像收到了什么消息，虚招一晃，化作一道金光离开了。,1,1,3章|洛阳,3,1,1,6,21,11286,friend005,1210,520,7，8,,,3,1,,,0,1,50005,xiuxian_enemy019_b,5,122001,14:14010101:1|7:49034:10|7:49064:3,7:49034:1|7:49780:1|7:49629:1,7:49034:1,
50006,2-1|终南大仙,你打败了金蛟化身，顺利通过了终南大仙的试炼。,2,1,3章|洛阳,3,1,1,6,23,11287,friend006,1296,525,,,,3,1,,,0,1,50006,xiuxian_enemy001_b,1,122001,7:49718:3|7:49780:3|7:49064:1,7:49718:1|7:49780:1|7:49630:1,7:49718:1,
50007,2-2|五灵试炼,终南大仙将金蛟一片鳞片赠送于你，并告知你，如果想靠自己修炼，需寻一处僻静之地作为洞府。,2,1,3章|洛阳,3,1,1,6,24,11288,friend011,1382,530,11，12，13,,14，15，16，17，18,3,1,,,0,1,50007,xiuxian_enemy002_b,2,122001,7:49719:3|7:49780:3|7:49064:1,7:49719:1|7:49780:1|7:49631:1,7:49719:1,
50008,2-3|寻找洞府,你带上银月，开始寻找适合修炼之地。,2,1,3章|洛阳,3,1,1,6,26,11289,friend007,1469,535,403，404，405,,406，407，408,3,1,,,0,1,50008,xiuxian_enemy008_b,3,122001,7:49720:3|7:49780:3|7:49064:1,7:49720:1|7:49780:1|7:49632:1,7:49720:1,
50009,2-4|水月洞天,在中州的一处偏僻深山中，你发现一处世外桃源。桃源中，有一奇异瀑布。,2,1,3章|洛阳,3,1,1,6,27,11290,friend016,1555,540,20，21，22,,23，24，25，26，27,5,3,friend144_b,244，382|440，682|440，382|223，682,230000,1,50009,xiuxian_enemy009_b,4,122001,7:49721:3|7:49780:3|7:49064:1,7:49721:1|7:49780:1|7:49629:1,7:49721:1,
50010,2-5|神兽旋龟,你施展分水术，发现瀑布后果然别有洞天，于是打算入内一观。,2,1,4章|界桥,4,1,1,6,29,11292,friend055,1642,545,28，29，340，30,31，32，33,,4,1,,,0,1,50010,xiuxian_enemy017_b,5,122001,14:14020101:1|7:49034:20|7:49064:3,7:49034:1|7:49780:1|7:49630:1,7:49034:1,
